forecast_window_start,forecast_window_end,scenario,predicted_actor,predicted_behavior,probability_band,impact_level,confidence,supporting_pattern,main_trigger,main_invalidator,theater,status_after_review
2026-04-04,2026-04-10,MostLikely,US,Continue offensive air operations against Iranian military-industrial targets with intermittent infrastructure strikes,47-49,High,High,Repeated daily strike tempo and presidential two-to-three-week pressure language,No multi-day verified halt across the forecast window,Public stand-down order or sustained sortie pause,MultiTheater,
2026-04-04,2026-04-10,MostLikely,Israel,Maintain deep strikes in Iran and consolidate southern Lebanon buffer operations,55-65,High,High,Week-long intensity and Litani-south rhetoric absent binding ceasefire,Continued rocket and ATGM justification narrative,Ceasefire that verifiably binds IAF sorties,Iran,
2026-04-04,2026-04-10,MostLikely,Iran,Fire missile and drone waves toward Israel and GCC with periodic utility or refinery-linked pressure,55-65,High,High,Established Gulf energy and water targeting pattern in the prior window,Quiet days not observed in brief-based baseline,Third-party verified unilateral halt on Gulf launches,GulfHormuz,
2026-04-04,2026-04-10,MostLikely,Iran,Hormuz remains a middle state with politically filtered or fee-like partial passage signals rather than full commercial normalization,45-55,High,Medium,Selective access and parallel diplomatic tracks without behavioral de-escalation,UNSC and consumer-bloc diplomacy stays process-heavy,Commercial transits return toward pre-crisis order of magnitude,GulfHormuz,
2026-04-04,2026-04-10,MostLikely,Hezbollah,Sustain rocket and ATGM pressure sufficient for Israel to continue buffer operations,50-60,Medium,High,Northern expansion logic tied to ongoing exchanges,Ceasefire absent verified monitoring,Hezbollah halt with verified IDF pullback,Lebanon,
2026-04-04,2026-04-10,MostLikely,Houthis,Occasional long-range ballistic or drone attempts toward Israel or maritime signaling,35-45,Medium,Medium,Early-window activation already observed; persistence uncertain,Continued Red Sea risk premium without announced halt,Announced halt or collapsed launch network,YemenRedSea,
2026-04-04,2026-04-10,EscalatoryAlternative,US,Accelerate bridge and grid or desalination-class strikes matching the threatened sequence,36-38,Critical,Medium,Explicit sequenced threats after B1 strike and Stone Age framing,Cluster of power or bridge strikes within 48 hours,Threats retracted and sorties avoid those categories for the full window,Iran,
2026-04-04,2026-04-10,EscalatoryAlternative,US,Additional manned aircraft loss or politically salient CSAR episode,30-40,Critical,Medium,April 3 precedent for F-15E loss and helicopter damage,Iranian air defenses continue to engage forward packages,No further manned losses and suppressed coverage,Iran,
2026-04-04,2026-04-10,EscalatoryAlternative,Iran,Execute or narrowly attempt kinetic follow-through against named U.S. firms or regional university presence,25-35,High,Medium,IRGC lists and deadlines appeared while kinetic proof stayed thin,Domestic U.S. pressure to finish visibly or continued strikes on Iranian cities,Multiple confirmed attacks on listed assets or explicit IRGC stand-down,MultiTheater,
2026-04-04,2026-04-10,EscalatoryAlternative,Iran,Major GCC refinery or desalination outage lasting several days,25-35,Critical,Medium,Kuwait refinery and desalination hits already in the evidence window,GCC unity demands after water or product crisis,Quick restoration and muted escalation response,GulfHormuz,
2026-04-04,2026-04-10,EscalatoryAlternative,Houthis,Increase Red Sea or long-range fire tempo beyond episodic probes,20-30,High,Low,Houthi lane already active-bounded; wider war could raise salience,U.S. or Israeli posture shifts that invite second-front signaling,Sustained suppression or Houthi announced restraint,YemenRedSea,
2026-04-04,2026-04-10,EscalatoryAlternative,Hashd,Single high-visibility incident affecting U.S. persons or contractors in Iraq,15-25,High,Low,Kidnapping allegation raised latent profile,Iraqi instability or reprisal dynamics,Iraqi state crackdown or deterrent U.S. response,Iraq,
2026-04-04,2026-04-10,DeEscalatoryAlternative,MultiActor,Measurable tanker flow increase tied to published Oman-Iran or similar transit monitoring rules,14-16,High,Low,IRNA drafting story briefly moved markets; implementation unverified,Written transit rules plus insurer premium normalization,Protocol dead or Omani disavowal,GulfHormuz,
2026-04-04,2026-04-10,DeEscalatoryAlternative,MultiActor,Mutual strike reduction lasting 72 hours or more with mediators claiming an acknowledged channel,14-16,High,Low,Fars ceasefire rejection narrative is weakly verified; behavioral test still possible,Quieter Gulf and Iran strike calendars,J renewed major salvos despite talk claims,MultiTheater,
2026-04-04,2026-04-10,DeEscalatoryAlternative,Israel,Visibly narrower ROE on Iran for a mediated window with U.S. backing,10-18,Medium,Low,Israel has stayed outside the main diplomatic lane; sync would be a sharp change,Mediator breakthrough with concurrent IAF restraint,Continued deep strikes without narrowing,Iran,
